display_name,canonical_wikipedia_url,battle_id,battle_name,wikipedia_title,page_type,side,belligerent,old_outcome_category,new_outcome_category,page_result_type,page_result_raw,override_justification,override_evidence_basis
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,battle_41335403,Siege of Kaifeng (1232),Siege of Kaifeng (1232),battle_article,side_b,Mongol Empire,unknown,victory,victory,Mongol victory Emperor Aizong flees to Caizhou,Retained page result begins with `mongol` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Mongol victory Emperor Aizong flees to Caizhou
Hulegu Khan,https://en.wikipedia.org/wiki/Hulegu_Khan,battle_2530755,Siege of Baghdad,Siege of Baghdad,battle_article,side_a,Ilkhanate (Mongol Empire),unknown,victory,victory,Mongol victory,Retained page result begins with `mongol` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Mongol victory
Hulegu Khan,https://en.wikipedia.org/wiki/Hulegu_Khan,battle_4637647,Berke–Hulegu war,Berke–Hulegu war,war_conflict_article,side_a,Ilkhanate,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Baybars,https://en.wikipedia.org/wiki/Baybars,battle_14728263,Siege of Tripoli (1271),Siege of Tripoli (1271),battle_article,side_b,Mamluk Sultanate,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Ivan Alexander of Bulgaria,https://en.wikipedia.org/wiki/Ivan_Alexander_of_Bulgaria,battle_3446320,Battle of Velbazhd,Battle of Velbazhd,battle_article,side_a,Bulgarian Empire Supported by: Wallachia Andronikos III Palaiologos (Byzantine Empire) Vásáry 2005,unknown,defeat,unknown,Serbian victoryVásáry 2005,Retained page result begins with `serbian` and that label maps uniquely to the opposing side on the retained page.,page_result_raw=Serbian victoryVásáry 2005
Philip VI of France,https://en.wikipedia.org/wiki/Philip_VI_of_France,battle_31118216,Siege of Tournai (1340),Siege of Tournai (1340),battle_article,side_a,Kingdom of France,unknown,indecisive,unknown,inconclusive Truce of Espléchin,Retained page result is explicitly inconclusive.,page_result_raw=inconclusive Truce of Espléchin
John Chandos,https://en.wikipedia.org/wiki/John_Chandos,battle_31118216,Siege of Tournai (1340),Siege of Tournai (1340),battle_article,side_b,Kingdom of EnglandCounty of FlandersDuchy of BrabantCounty of HainautHoly Roman Empire,unknown,indecisive,unknown,inconclusive Truce of Espléchin,Retained page result is explicitly inconclusive.,page_result_raw=inconclusive Truce of Espléchin
Karl Thopia,https://en.wikipedia.org/wiki/Karl_Thopia,battle_77793250,Albanian-Anjou Conflict,Albanian-Anjou Conflict,war_conflict_article,side_a,20px Principality of Albania,unknown,victory,victory,Albanian victory The Principality of Albania Captures Durrës End of the Angevin Kingdom of Albania,Retained page result begins with `albanian` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Albanian victory The Principality of Albania Captures Durrës End of the Angevin Kingdom of Albania
Bayezid I,https://en.wikipedia.org/wiki/Bayezid_I,battle_159361,Battle of Kosovo,Battle of Kosovo,battle_article,side_a,Ottoman Empire Beylik of Isfendiyar,unknown,indecisive,unknown,Inconclusive,Retained page result is explicitly inconclusive.,page_result_raw=Inconclusive
Murad II,https://en.wikipedia.org/wiki/Murad_II,battle_11784376,Siege of Thessalonica (1422–1430),Siege of Thessalonica (1422–1430),battle_article,side_a,Ottoman Empire Ottoman Empire,unknown,victory,victory,Ottoman victory,Retained page result begins with `ottoman` and that label maps uniquely to the commander's side on the retained page.,page_result_raw=Ottoman victory
