analytic_commander_id,display_name,canonical_wikipedia_url,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,dominant_verification_status
acmd_c12279d91630,Ahmet Ferit Tek,https://en.wikipedia.org/wiki/Ahmet_Ferit_Tek,1,1,0,0,0,verified_core
acmd_c1245819864d,"Ali Ri'ayat Syah II, Raja Buyung",https://en.wikipedia.org/wiki/Sultan_Buyung,2,2,0,0,0,verified_core
acmd_c127a7bd7014,Francis M. Drake,https://en.wikipedia.org/wiki/Francis_M._Drake,1,1,0,0,0,verified_core
acmd_c127d2da439b,Adolf IV of Holstein,https://en.wikipedia.org/wiki/Adolf_IV_of_Holstein,2,1,1,0,0,verified_broad
acmd_c1296858a3ca,Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,30,28,1,1,0,structurally_suspect
acmd_c12d1b328729,Noor Mohammad Kalhoro,https://en.wikipedia.org/wiki/Noor_Mohammad_Kalhoro,2,1,1,0,0,verified_broad
acmd_c12ecf60eb15,Nyaungyan Min,https://en.wikipedia.org/wiki/Nyaungyan_Min,1,0,1,0,0,verified_broad
acmd_c132020a845e,Jacko Page,https://en.wikipedia.org/wiki/Jacko_Page,2,2,0,0,0,verified_core
acmd_c133d5bdb4f0,King Cunincpert,https://en.wikipedia.org/wiki/Cunipert,1,1,0,0,0,verified_core
acmd_c13745bee699,Rómulo Betancourt,https://en.wikipedia.org/wiki/R%C3%B3mulo_Betancourt,1,1,0,0,0,verified_core
acmd_c13a5f9a2ae3,Alonso de Ojeda,https://en.wikipedia.org/wiki/Alonso_de_Ojeda,1,1,0,0,0,verified_core
acmd_c13e3fb10d00,Louis Nicolas Victor de Félix d'Ollières,https://en.wikipedia.org/wiki/Louis_Nicolas_Victor_de_F%C3%A9lix_d%27Olli%C3%A8res,1,1,0,0,0,verified_core
acmd_c13e6e52f89e,Jaime de Guzmán-Dávalos y Spínola,https://en.wikipedia.org/wiki/Jaime_de_Guzm%C3%A1n-D%C3%A1valos_y_Sp%C3%ADnola,2,2,0,0,0,verified_core
acmd_c13f9fd24f47,José Félix Estigarribia,https://en.wikipedia.org/wiki/Jos%C3%A9_F%C3%A9lix_Estigarribia,1,1,0,0,0,verified_core
acmd_c145d3afbce1,Abdullah bin Hassan,https://en.wikipedia.org/wiki/Abdullah_bin_Hassan_%28Yemeni_prince%29,1,1,0,0,0,verified_core
acmd_c1491d9c057c,Uaxaclajuun Ubʼaah Kʼawiil,https://en.wikipedia.org/wiki/Uaxaclajuun_Ub%CA%BCaah_K%CA%BCawiil,1,1,0,0,0,verified_core
acmd_c14ae2d29163,Pelantaro,https://en.wikipedia.org/wiki/Pelantaro,1,1,0,0,0,verified_core
acmd_c14b6655880e,Lorenzo Bernal del Mercado,https://en.wikipedia.org/wiki/Lorenzo_Bernal_del_Mercado,1,1,0,0,0,verified_core
acmd_c14dabe81e2a,H. D. Deve Gowda,https://en.wikipedia.org/wiki/H._D._Deve_Gowda,7,7,0,0,0,verified_core
acmd_c15448d8e8c1,Pedro de Anda,https://en.wikipedia.org/wiki/Pedro_de_Anda,1,1,0,0,0,verified_core
acmd_c1545d4106a2,Vladimir Kryuchkov,https://en.wikipedia.org/wiki/Vladimir_Kryuchkov,1,1,0,0,0,verified_core
acmd_c1561029fb91,Macky Sall,https://en.wikipedia.org/wiki/Macky_Sall,3,1,0,2,0,structurally_suspect
acmd_c157eb89e8a9,Duke Ferdinand Frederick Augustus of Württemberg,https://en.wikipedia.org/wiki/Duke_Ferdinand_Frederick_Augustus_of_W%C3%BCrttemberg,4,4,0,0,0,verified_core
acmd_c15ba5616555,Harmon Cox,https://en.wikipedia.org/wiki/Harmon_Cox,2,2,0,0,0,verified_core
