rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,engagement_count,battle_count,operation_count,campaign_count,war_count,known_outcome_count,known_outcome_share,outcome_shrunk_raw,component_outcome,component_sustained_scale,component_scope,component_temporal,component_centrality,component_higher_level,component_evidence,active_span_years_nonwar,higher_level_share,page_type_profile_class,caution_flags
51,77.58856607310216,strong,acmd_b0bb8531c63e,Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,13,8,5,0,0,12,0.9230769230769231,0.46730231479633916,97.56326148078726,,64.90159325210871,22.492970946579195,87.20712277413308,95.64198687910029,71.7900656044986,3,0.3333333333333333,mixed_profile,
52,77.52233676975945,strong,acmd_cf14a194e3dc,Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,medieval,11,11,0,0,0,10,0.9090909090909091,0.44544344366426303,96.34489222118088,,51.93689472039987,75.72633552014996,84.20805998125586,18.181818181818183,72.72727272727273,20,0.0,battle_dominant,
53,77.32427366447985,strong,acmd_d689b62984e1,Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,early_modern,14,13,0,0,1,12,0.8571428571428571,0.31310621399191213,78.53795688847235,,64.90159325210871,98.12558575445173,90.20618556701031,47.46954076850984,60.35613870665417,57,0.026217228464419474,battle_dominant,
54,77.24789128397377,strong,acmd_6801fcdfc85b,Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,early_modern,9,7,0,0,2,9,1.0,0.36111426873539465,86.5979381443299,,63.12089971883787,77.83505154639175,65.74507966260543,64.1518275538894,88.89409559512652,21,0.0909090909090909,battle_dominant,
55,77.09871915026555,strong,acmd_ccc95a8b031b,Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,early_modern,19,15,0,0,4,6,0.3157894736842105,0.43636363636363634,95.12652296157451,,66.2293033427054,45.54826616682287,93.53327085285848,80.13120899718838,1.3120899718837862,8,0.08536585365853659,battle_dominant,
56,77.072633552015,strong,acmd_2ec882c76a3e,Nozu Michitsura,https://en.wikipedia.org/wiki/Nozu_Michitsura,long_nineteenth_century,7,6,0,0,1,6,0.8571428571428571,0.43636363636363634,95.12652296157451,,48.54732895970009,94.61105904404874,51.452671040299904,47.46954076850984,59.27835051546392,36,0.05511811023622047,battle_dominant,
57,76.98531708840987,strong,acmd_6970e6b60c26,Saladin,https://en.wikipedia.org/wiki/Saladin,medieval,21,21,0,0,0,11,0.5238095238095238,0.4956592636799631,98.6879100281162,,39.80006248047485,89.31583880037488,97.1883786316776,18.181818181818183,10.21555763823805,29,0.0,battle_dominant,
58,76.86488597313341,strong,acmd_3450e1f72481,Jan Zamoyski,https://en.wikipedia.org/wiki/Jan_Zamoyski,early_modern,7,6,0,0,1,6,0.8571428571428571,0.43636363636363634,95.12652296157451,,60.09059668853484,77.83505154639175,51.452671040299904,47.46954076850984,59.27835051546392,21,0.05511811023622047,battle_dominant,
59,76.36676038737895,strong,acmd_8cc431cd8376,Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower,world_wars,13,5,7,0,1,9,0.6923076923076923,0.2680147499877096,70.19681349578258,,95.7044673539519,66.44798500468603,83.59887535145268,98.40674789128397,35.14526710402999,16,0.5433789954337899,operation_heavy,higher_level_dependent
60,76.1877538269291,strong,acmd_e98a8506dc92,Ivan Bagramyan,https://en.wikipedia.org/wiki/Ivan_Bagramyan,world_wars,11,4,7,0,0,10,0.9090909090909091,0.5333333333333332,99.34395501405811,,60.09059668853484,22.492970946579195,78.77225866916588,97.8444236176195,58.57544517338332,3,0.5833333333333334,operation_heavy,higher_level_dependent
61,76.11730709153389,strong,acmd_dbaafbd66e5b,Charles XII of Sweden,https://en.wikipedia.org/wiki/Charles_XII_of_Sweden,early_modern,22,21,0,0,1,21,0.9545454545454546,0.3576608125494122,86.31677600749765,,54.99843798812871,70.80599812558576,97.28209934395501,47.46954076850984,76.94470477975632,18,0.016393442622950817,battle_dominant,
