rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
701,23.31626120358515,qualified,acmd_c60d8ea62499,Murakami Yoshikiyo,https://en.wikipedia.org/wiki/Murakami_Yoshikiyo,early_modern,5,4,0.8,-0.07834239286387747,25.224071702944943,14.596670934699105,30.217669654289374,2,11,battle_dominant,
702,23.30985915492958,qualified,acmd_cff9b7adff32,Quizquiz,https://en.wikipedia.org/wiki/Quizquiz,early_modern,6,4,0.6666666666666666,-0.1262265146043374,18.693982074263765,38.348271446862995,16.709346991037133,2,2,battle_dominant,
703,23.053777208706787,qualified,acmd_5db4f526e9b4,Shibata Katsuie,https://en.wikipedia.org/wiki/Shibata_Katsuie,early_modern,8,6,0.75,-0.33740847620186304,2.0486555697823303,64.40460947503202,38.15620998719591,4,35,battle_dominant,
704,22.87451984635083,qualified,acmd_68dee10020d1,Tulayha ibn Khuwaylid,https://en.wikipedia.org/wiki/Tulayha_ibn_Khuwaylid,medieval,5,5,1.0,-0.1599522041514449,15.620998719590268,14.596670934699105,65.68501920614597,4,10,battle_dominant,
705,22.79769526248399,qualified,acmd_82b2d2283a82,Maximilien Sébastien Foy,https://en.wikipedia.org/wiki/Maximilien_S%C3%A9bastien_Foy,revolutionary_napoleonic,5,5,1.0,-0.1603995118372608,15.492957746478872,14.596670934699105,65.68501920614597,1,4,battle_dominant,
706,22.720870678617153,qualified,acmd_28c20161a0d0,Jacques-François Menou,https://en.wikipedia.org/wiki/Jacques-Fran%C3%A7ois_Menou,revolutionary_napoleonic,7,4,0.5714285714285714,-0.20335590160126932,12.419974391805377,53.77720870678617,12.163892445582587,4,8,battle_dominant,
707,22.701664532650447,qualified,acmd_d33007d3c9e7,Oleksandr Syrskyi,https://en.wikipedia.org/wiki/Oleksandr_Syrskyi,contemporary,5,4,0.8,-0.08936725209640996,24.199743918053777,14.596670934699105,30.217669654289374,5,8,battle_dominant,
708,22.61843790012804,qualified,acmd_d38f47d2ad5a,Josef Philipp Vukassovich,https://en.wikipedia.org/wiki/Josef_Philipp_Vukassovich,revolutionary_napoleonic,6,6,1.0,-0.33481484739239736,2.176696542893726,38.348271446862995,78.16901408450704,5,9,battle_dominant,
709,22.53841229193342,qualified,acmd_224c25db1736,Otto von Below,https://en.wikipedia.org/wiki/Otto_von_Below,world_wars,9,6,0.6666666666666666,-0.3437931749338289,1.9206145966709345,72.79129321382842,21.254801536491676,7,3,battle_dominant,
710,22.471190781049938,qualified,acmd_d2d76819b2bb,Aleksey Kuropatkin,https://en.wikipedia.org/wiki/Aleksey_Kuropatkin,long_nineteenth_century,5,4,0.8,-0.09069260756645416,23.81562099871959,14.596670934699105,30.217669654289374,2,25,battle_dominant,
711,22.40076824583867,qualified,acmd_ba5c9f3f5a3a,"Charles, Duke of Brittany",https://en.wikipedia.org/wiki/Charles%2C_Duke_of_Brittany,medieval,8,6,0.75,-0.40909090909090906,0.9603072983354672,64.40460947503202,38.15620998719591,5,22,battle_dominant,
712,22.240717029449424,qualified,acmd_9a756c7596a3,Paik Sun-yup,https://en.wikipedia.org/wiki/Paik_Sun-yup,cold_war,7,5,0.7142857142857143,-0.2388307348038396,8.962868117797695,53.77720870678617,22.791293213828425,3,0,battle_dominant,
713,22.195902688860436,qualified,acmd_799cf09fef67,Archduke John of Austria,https://en.wikipedia.org/wiki/Archduke_John_of_Austria,revolutionary_napoleonic,6,4,0.6666666666666666,-0.15349858168827243,16.83738796414853,38.348271446862995,16.709346991037133,4,9,battle_dominant,
714,22.195902688860436,qualified,acmd_7ccf408292d7,Suluk,https://en.wikipedia.org/wiki/Suluk_(T%C3%BCrgesh_khagan),medieval,6,4,0.6666666666666666,-0.15349858168827243,16.83738796414853,38.348271446862995,16.709346991037133,2,20,battle_dominant,
715,22.055057618437896,qualified,acmd_cee242d82909,Koos de la Rey,https://en.wikipedia.org/wiki/Koos_de_la_Rey,long_nineteenth_century,10,4,0.4,-0.3333333333333333,3.201024327784891,79.00128040973111,2.560819462227913,2,3,battle_dominant,
716,21.888604353393085,qualified,acmd_8eaa9aef123b,Henri Dentz,https://en.wikipedia.org/wiki/Henri_Dentz,world_wars,6,6,1.0,-0.40909090909090906,0.9603072983354672,38.348271446862995,78.16901408450704,1,0,battle_dominant,
