rank,score_normalized,score_tier,analytic_commander_id,display_name,canonical_wikipedia_url,primary_era_bucket,battle_count,known_battle_outcome_count,known_battle_outcome_share,outcome_shrunk_raw,component_outcome,component_depth,component_reliability,conflict_breadth,active_span_years,page_type_profile_class,caution_flags
2072,21.876308078694017,qualified,acmd_304e35280a34,Kara Mustafa Pasha,https://en.wikipedia.org/wiki/Kara_Mustafa_Pasha,early_modern,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,3,191,battle_dominant,
2073,21.876308078694017,qualified,acmd_05364c8a73da,Karl Hermann Frank,https://en.wikipedia.org/wiki/Karl_Hermann_Frank,world_wars,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,3,7,battle_dominant,
2074,21.876308078694017,qualified,acmd_5232cda2258f,Katō Mitsuyasu,https://en.wikipedia.org/wiki/Kat%C5%8D_Mitsuyasu,early_modern,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,3,36,battle_dominant,
2075,21.876308078694017,qualified,acmd_4b784938dd6b,Kitbuqa,https://en.wikipedia.org/wiki/Kitbuqa,medieval,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,3,4,battle_dominant,
2076,21.876308078694017,qualified,acmd_42b268ec7478,Kölemen Abdullah Pasha,https://en.wikipedia.org/wiki/K%C3%B6lemen_Abdullah_Pasha,long_nineteenth_century,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,1,0,battle_dominant,
2077,21.876308078694017,qualified,acmd_74b5e533fb2d,Lal Singh,https://en.wikipedia.org/wiki/Lal_Singh,long_nineteenth_century,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,1,1,battle_dominant,
2078,21.876308078694017,qualified,acmd_b7400519fba0,Leosthenes,https://en.wikipedia.org/wiki/Leosthenes,ancient,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,1,1,battle_dominant,
2079,21.876308078694017,qualified,acmd_9c58d91435ff,Li Zicheng,https://en.wikipedia.org/wiki/Li_Zicheng,early_modern,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,2,3,battle_dominant,
2080,21.876308078694017,qualified,acmd_142c0775033e,Liborius Ritter von Frank,https://en.wikipedia.org/wiki/Liborius_Ritter_von_Frank,world_wars,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,1,0,battle_dominant,
2081,21.876308078694017,qualified,acmd_a84d556d4bb6,Long,https://en.wikipedia.org/wiki/He_Long,cold_war,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,1,22,battle_dominant,
2082,21.876308078694017,qualified,acmd_87d1592d2925,Louis IX of France,https://en.wikipedia.org/wiki/Louis_IX_of_France,medieval,3,1,0.3333333333333333,-0.125,22.352448723315195,20.447886144830473,,3,8,battle_dominant,
