display_name,canonical_wikipedia_url,primary_era_bucket,rank_baseline_conservative,rank_battle_only_baseline,rank_hierarchical_trust_v2,rank_hierarchical_weighted,rank_hierarchical_full_credit,rank_hierarchical_equal_split,rank_hierarchical_broader_eligibility,score_baseline_conservative,score_hierarchical_trust_v2,score_hierarchical_weighted,trust_tier_v2,trust_confidence_v2,trust_headline_reason_v2,total_engagements_strict,total_battle_pages_strict,distinct_conflicts_strict,distinct_opponents_strict,known_outcome_count,outcome_profile_summary,page_type_exposure_summary,page_type_profile_class,stability_label,caution_flags
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,early_modern,27.0,39.0,31.0,32.0,27.0,35.0,25.0,89.61587708066581,83.16098864395458,81.25673569360944,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 31 but not stable enough for the headline core.,20,17,11,19,15,V=11; D=1; N=3; U=5,B=17; O=0; C=0; W=3,battle_dominant,stable,
Aurangzeb,https://en.wikipedia.org/wiki/Aurangzeb,early_modern,86.0,126.0,32.0,36.0,28.0,49.0,35.0,77.56081946222791,83.10821643286575,80.88877755511024,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",10,8,10,15,9,V=7; D=1; N=1; U=1,B=8; O=0; C=0; W=2,battle_dominant,highly_model_sensitive,
Belisarius,https://en.wikipedia.org/wiki/Belisarius,medieval,32.0,53.0,33.0,39.0,119.0,34.0,24.0,88.62996158770807,82.68603874415497,80.77410376308173,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 33 but not stable enough for the headline core.,18,15,8,9,18,V=12; D=4; N=2; U=0,B=15; O=0; C=0; W=3,battle_dominant,model_sensitive,
Aleksandr Vasilevsky,https://en.wikipedia.org/wiki/Aleksandr_Vasilevsky,world_wars,,222.0,34.0,30.0,30.0,90.0,49.0,,82.53974615898463,81.58739701625473,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",9,4,5,16,9,V=9; D=0; N=0; U=0,B=4; O=4; C=0; W=1,battle_dominant,highly_model_sensitive,higher_level_dependent
Nikolai Vatutin,https://en.wikipedia.org/wiki/Nikolai_Vatutin,world_wars,147.0,149.0,35.0,43.0,44.0,54.0,39.0,70.39692701664532,82.52571810287242,80.55032286795814,model_sensitive_band,caution,"Ranks well enough to monitor, but higher-level evidence dependence keeps this case out of the headline tiers.",13,8,8,9,12,V=11; D=1; N=0; U=1,B=8; O=5; C=0; W=0,battle_dominant,highly_model_sensitive,higher_level_dependent
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,early_modern,5.0,6.0,36.0,38.0,42.0,37.0,30.0,97.33034571062741,82.44288577154308,80.85404141616567,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 36 but not stable enough for the headline core.,20,19,10,18,18,V=16; D=2; N=0; U=2,B=19; O=0; C=0; W=1,battle_dominant,model_sensitive,
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,medieval,1.0,1.0,37.0,42.0,43.0,39.0,28.0,99.55505761843789,82.43687374749497,80.57114228456913,high_confidence_upper_band,moderate,High-confidence upper-band commander; rank 37 but not stable enough for the headline core.,41,40,18,24,39,V=37; D=0; N=2; U=2,B=40; O=0; C=0; W=1,battle_dominant,highly_model_sensitive,
Abbas the Great,https://en.wikipedia.org/wiki/Abbas_the_Great,early_modern,204.0,191.0,38.0,34.0,58.0,29.0,95.0,66.40845070422534,82.35136940547763,81.03996882654198,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",6,6,5,12,6,V=5; D=1; N=0; U=0,B=6; O=0; C=0; W=0,battle_dominant,highly_model_sensitive,
Peng Dehuai,https://en.wikipedia.org/wiki/Peng_Dehuai,cold_war,130.0,106.0,39.0,60.0,68.0,44.0,44.0,71.90460947503202,82.00601202404809,79.26430639055889,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",13,11,6,22,8,V=6; D=1; N=1; U=5,B=11; O=1; C=0; W=1,battle_dominant,highly_model_sensitive,
Charles-Pierre Augereau,https://en.wikipedia.org/wiki/Charles-Pierre_Augereau,revolutionary_napoleonic,64.0,200.0,40.0,84.0,39.0,92.0,69.0,79.98079385403328,81.687374749499,77.0060120240481,model_sensitive_band,caution,"Visible in upper-model results, but the rank remains too model-sensitive for headline trust treatment.",29,24,14,29,26,V=20; D=6; N=0; U=3,B=24; O=0; C=0; W=5,battle_dominant,highly_model_sensitive,
