analytic_commander_id,commander_name,total_score,score_from_overall_command,score_from_principal_field_command,score_from_subordinate_command,score_from_coalition_command,score_from_siege_engineering,score_from_naval_command,score_from_staff_or_planning,score_from_nominal_or_political,score_from_unclear_role,score_from_wing_or_corps_command,share_unclear_role,share_nominal_or_political,share_direct_field_command,role_weighted_total,role_unweighted_total,mean_role_confidence,dominant_role_class,role_adjustment_factor
acmd_00c0a694b107,Safa Giray of Crimea,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_00c17dd568b9,Abdirahman Farah Dirow,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00c3ba031a59,Leontiades,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.475,principal_field_commander,0.8500000000000001
acmd_00c5e5ce4cbb,Wespazjan Lanckoroński,0.46188000000000007,0.0,0.46188000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39259800000000006,0.46188000000000007,0.65,principal_field_commander,0.85
acmd_00cc79f0cd05,Gerard Herbert,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.575,principal_field_commander,0.85
acmd_00ce9221329d,Al-Ma'mun,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_00cf0e9f3ac6,Nader Mirza Afshar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,unclear_role,0.4
acmd_00cf88592d8c,Andrzej Kopa,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.68,0.8,0.65,principal_field_commander,0.85
acmd_00d2ff0422e2,Chaloner Ogle,1.6525,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.03177004538577912,0.0,0.9682299546142209,1.3810000000000002,1.6525,0.5333333333333333,principal_field_commander,0.8357034795763995
acmd_00d5ef52b61a,Eski of Michik,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_00d9963047e4,Peter Odili,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_00dc227e8ce2,Saïd Mohammedi,0.0502894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0502894,0.0,1.0,0.0,0.0,0.02011576,0.0502894,0.3,unclear_role,0.4
acmd_00ddc04b3ade,Johan Georg Ræder,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.65,principal_field_commander,0.85
acmd_00df7406b0f0,Curio Barbasetti di Prun,0.5656856,0.0,0.5656856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.48083275999999997,0.5656856,0.5499999999999999,principal_field_commander,0.85
acmd_00e1832ed23d,Tanzania Salim Hassan Boma,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00e73a236a9e,New France Jean Léger de LaGrange,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00e773f7874e,Jean-Joseph Ange d'Hautpoul,0.30237120000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30237120000000006,0.0,0.0,1.0,0.16630416000000003,0.30237120000000006,0.55,wing_or_corps_commander,0.55
acmd_00e7adca52ad,Tekle Haymanot of Gojjam,0.30237120000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30237120000000006,0.0,0.0,1.0,0.16630416000000003,0.30237120000000006,0.42500000000000004,wing_or_corps_commander,0.55
acmd_00ea81b7dad6,Josip Jelačić,2.9853368000000002,0.0,1.8275656000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1577712,0.0,0.0,1.0,2.19020492,2.9853368000000002,0.6,principal_field_commander,0.7336542128177966
acmd_00edc8ca4ab1,Abdilahi Husein Iman Darawal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,unclear_role,0.4
acmd_00ef9066394e,Fakhr al-Din II,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1275,0.15,0.65,principal_field_commander,0.8500000000000001
acmd_00f2d016f8b4,Sabahattin Çakmakoğlu,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,0.0,1.0,0.0,0.0,0.042,0.105,0.3,unclear_role,0.4
acmd_00f5f3e7a0fe,A. K. Khandker,0.0525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0,1.0,0.0,0.0,0.021,0.0525,0.3,unclear_role,0.4
acmd_00f7a9ecb626,College of William & Mary,0.23094000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23094000000000003,0.0,0.0,1.0,0.12701700000000002,0.23094000000000003,0.55,wing_or_corps_commander,0.55
