battle_id,battle_name,wikipedia_title,side,raw_text,issue_type,details
battle_34337205,Chola invasion of Kalinga (1097),Chola invasion of Kalinga (1097),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_14618153,Siege of Ma'arra,Siege of Ma'arra,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_76600050,Siege of Samshvilde,Siege of Samshvilde,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_74834286,Battle of Rakhsi,Battle of Rakhsi,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_74087263,Battle of Botora,Battle of Botora,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_59136301,Siege of Sozopolis,Siege of Sozopolis,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_5637539,Battle of Beroia,Battle of Beroia,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_58523170,Battle of Ba Dau 1128,Battle of Ba Dau 1128,side_b,-,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_5917340,Civil war era in Norway,Civil war era in Norway,side_a,List:,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_5917340,Civil war era in Norway,Civil war era in Norway,side_b,List:,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_22372885,Battle of Llwchwr,Battle of Llwchwr,side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_9532231,Battle of Clitheroe,Battle of Clitheroe,side_a,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_27905310,Siege of Coria (1138),Siege of Coria (1138),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_27905303,Siege of Coria (1142),Siege of Coria (1142),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_67698171,Siege of Lisbon (1142),Siege of Lisbon (1142),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
battle_32715013,Battle of Ephesus (1147),Battle of Ephesus (1147),side_b,Unknown,no_valid_commander_candidates,All candidate commanders were rejected by strict validation.
