model_name,page_type_profile_class,rank_in_profile,global_rank,display_name,score_normalized,primary_era_bucket
baseline_conservative,battle_dominant,268,268,Charat Singh,58.594750320102435,early_modern
baseline_conservative,battle_dominant,269,269,Louis-François de Boufflers,58.58834827144686,early_modern
baseline_conservative,battle_dominant,270,270,Bohemond I of Antioch,58.585147247119075,medieval
baseline_conservative,battle_dominant,271,271,John II Komnenos,58.57234314980794,medieval
baseline_conservative,battle_dominant,272,272,Charles de Bonchamps,58.46350832266325,revolutionary_napoleonic
baseline_conservative,battle_dominant,273,273,Louis Marie de Lescure,58.46350832266325,revolutionary_napoleonic
baseline_conservative,battle_dominant,274,274,Carlos Asensio Cabanillas,58.30985915492959,world_wars
baseline_conservative,battle_dominant,275,275,Francisco Franco,58.30985915492959,world_wars
baseline_conservative,battle_dominant,276,276,François de Créquy,58.30985915492959,early_modern
baseline_conservative,battle_dominant,277,277,Sancho d'Avila,58.30985915492959,early_modern
baseline_conservative,battle_dominant,278,278,Carl Johan Adlercreutz,58.18822023047375,revolutionary_napoleonic
baseline_conservative,battle_dominant,279,279,Louis Desaix,58.18501920614596,revolutionary_napoleonic
baseline_conservative,battle_dominant,280,280,Boris Sheremetev,58.124199743918055,early_modern
baseline_conservative,battle_dominant,281,281,Umar ibn al-Khattab,58.03457106274008,medieval
baseline_conservative,battle_dominant,282,282,Alexander Danilovich Menshikov,58.0313700384123,early_modern
baseline_conservative,battle_dominant,283,283,Michael Jones,57.97375160051216,early_modern
baseline_conservative,battle_dominant,284,284,Tomitarō Horii,57.97375160051216,world_wars
baseline_conservative,battle_dominant,285,285,Vasily Chuikov,57.96414852752881,world_wars
baseline_conservative,battle_dominant,286,286,George S. Patton,57.95774647887324,world_wars
baseline_conservative,battle_dominant,287,287,Köprülüzade Fazıl Ahmed Pasha,57.9449423815621,early_modern
baseline_conservative,battle_dominant,288,288,Kâzım Karabekir,57.7336747759283,world_wars
baseline_conservative,battle_dominant,289,289,Attila the Hun,57.50320102432779,ancient
baseline_conservative,battle_dominant,290,290,Domenico Pino,57.50320102432779,revolutionary_napoleonic
baseline_conservative,battle_dominant,291,291,Gordon Bremer,57.50320102432779,long_nineteenth_century
baseline_conservative,battle_dominant,292,292,Jacques François Dugommier,57.50320102432779,revolutionary_napoleonic
baseline_conservative,battle_dominant,293,293,Jai Singh Kanhaiya,57.50320102432779,early_modern
baseline_conservative,battle_dominant,294,294,José Enrique Varela,57.50320102432779,world_wars
baseline_conservative,battle_dominant,295,295,Mikhail Skobelev,57.50320102432779,long_nineteenth_century
baseline_conservative,battle_dominant,296,296,Nebuchadnezzar II,57.50320102432779,ancient
baseline_conservative,battle_dominant,297,297,Quintus Fabius Maximus Rullianus,57.50320102432779,ancient
baseline_conservative,battle_dominant,298,298,Theodoros Kolokotronis,57.50320102432779,long_nineteenth_century
baseline_conservative,battle_dominant,299,299,Živojin Mišić,57.50320102432779,world_wars
baseline_conservative,battle_dominant,300,300,Nikolai Yudenich,57.3303457106274,world_wars
baseline_conservative,battle_dominant,301,301,Jean-Baptiste Kléber,57.205505761843796,revolutionary_napoleonic
baseline_conservative,battle_dominant,302,302,Étienne Maurice Gérard,57.112676056338024,revolutionary_napoleonic
baseline_conservative,battle_dominant,303,303,Reşid Mehmed Pasha,57.071062740076826,long_nineteenth_century
baseline_conservative,battle_dominant,304,304,Stefan Lazarević,56.81177976952625,medieval
baseline_conservative,battle_dominant,305,305,"François, Duke of Guise",56.773367477592835,early_modern
baseline_conservative,battle_dominant,306,306,Henri Gouraud,56.773367477592835,world_wars
baseline_conservative,battle_dominant,307,307,Takeo Takagi,56.773367477592835,world_wars
baseline_conservative,battle_dominant,308,308,Thomas C. Kinkaid,56.773367477592835,world_wars
baseline_conservative,battle_dominant,309,309,Dominique Vandamme,56.57170294494238,revolutionary_napoleonic
